model,nodes_list,hidden_layers,activation_function,learning_rate,batch_norm,initializer_name,optimizer_name,batch_size,clipnorm,train_loss,val_loss,epochs,train_time,min_val_loss,min_train_loss
model_6,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,TRUE,he_uniform,RMSprop,28,FALSE,"[1516.9901123046875, 1210.1729736328125, 1099.2164306640625, 1026.586181640625, 960.2190551757812, 918.6277465820312, 886.2349243164062, 855.9069213867188, 834.1671752929688]","[1600.8421630859375, 1532.7457275390625, 1420.5521240234375, 1381.2281494140625, 1483.7138671875, 1486.4892578125, 1522.913818359375, 1506.92333984375, 1539.1864013671875]",9,1711.198851,1381.228149,834.1671753
model_8,"[90,75,15,16,41,21,11]",3,sigmoid,0.001,FALSE,,,50,FALSE,,,3,,1426.609863,
,,6,elu,0.005,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1470.391479,
model_9,"[60,45,10,1,1,1,1]",7,tanh,0.01,FALSE,,,50,FALSE,,,3,,2108.185791,
,,7,tanh,0.01,FALSE,FALSE,Adam,50,FALSE,,,8,,2115.358887,
model_20,"[1000, 500]",2,sigmoid,0.1,FALSE,uniform,RMSprop,28,FALSE,"[2497.177490234375, 2521.103271484375, 2554.66162109375, 2553.989013671875, 2575.885498046875, 2612.8134765625]","[2251.4013671875, 2299.99267578125, 2346.8046875, 2354.25927734375, 2740.477783203125, 2638.4501953125]",6,1114.568586,2251.401367,2497.17749
,,7,elu,0.0001,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,2319.416504,
model_31,"[1000, 500, 250, 125, 75, 25]",6,sigmoid,0.01,FALSE,untruncated_normal,Adam,28,FALSE,"[2437.25927734375, 2434.529296875, 2434.38720703125, 2434.344970703125, 2434.5146484375, 2434.44189453125, 2434.31640625, 2434.24072265625, 2434.26953125]","[2340.289306640625, 2340.987060546875, 2338.909423828125, 2338.68115234375, 2339.26123046875, 2339.69775390625, 2341.00634765625, 2338.681884765625, 2338.76806640625]",9,2953.080362,2338.681152,2434.240723
model_37,"[5000, 2500, 1250]",3,sigmoid,0.01,FALSE,uniform,Adam,100,TRUE,"[2447.80029296875, 2447.421142578125, 2446.329345703125, 2447.459228515625, 2447.288818359375, 2444.485595703125, 2448.102294921875]","[2359.7099609375, 2338.718994140625, 2368.113037109375, 2340.47998046875, 2339.288818359375, 2345.603515625, 2338.77392578125]",7,2298.795983,2338.718994,2444.485596
model_44,"[1000, 500, 250, 125, 75, 25]",6,sigmoid,0.1,FALSE,untruncated_normal,plain SGD,28,FALSE,"[2502.553466796875, 2494.39111328125, 2493.2822265625, 2489.655029296875, 2496.402099609375, 2488.94580078125, 2495.325439453125, 2502.372802734375, 2523.66845703125, 2562.9140625, 2563.051025390625, 2599.552001953125, 2630.70361328125]","[2407.5546875, 2426.9091796875, 2344.499267578125, 2339.521484375, 2338.840576171875, 2440.95068359375, 2370.91162109375, 2338.75341796875, 2452.802978515625, 2678.93994140625, 2351.72509765625, 3208.713623046875, 2535.261962890625]",13,469.1833978,2338.753418,2488.945801
model_56,"[5000, 2500, 1250, 750, 250, 100, 50]",7,tanh,0.001,FALSE,glorot_uniform,plain SGD,28,FALSE,"[2438.08544921875, 2437.423828125, 2437.008544921875, 2437.278076171875, 2436.77880859375, 2436.422607421875, 2436.74755859375, 2436.616455078125, 2436.416015625]","[2346.97314453125, 2339.79296875, 2339.730224609375, 2338.75439453125, 2340.283935546875, 2355.455810546875, 2340.424560546875, 2338.857177734375, 2341.77587890625]",9,7445.981006,2338.754395,2436.416016
model_47,"[5000, 2500, 1250]",3,sigmoid,0.1,FALSE,untruncated_normal,Adam,28,FALSE,"[2611.684814453125, 2613.095947265625, 2616.140625, 2622.952880859375, 2613.34130859375, 2624.542724609375]","[2338.8798828125, 2436.15087890625, 3213.718505859375, 2360.50927734375, 2664.49755859375, 2469.083984375]",6,6170.240761,2338.879883,2611.684814
model_33,"[1000, 500, 250, 125, 75, 25]",6,sigmoid,0.1,TRUE,uniform,nesterov,28,FALSE,"[2630.627197265625, 2648.372314453125, 2646.512939453125, 2648.860595703125, 2641.2197265625, 2646.02392578125, 2647.27783203125, 2646.392822265625, 2639.96337890625, 2643.654052734375, 2645.015380859375]","[2366.59423828125, 2616.5625, 2623.174072265625, 3083.5, 2432.051513671875, 2339.414306640625, 2515.35498046875, 2630.070068359375, 2441.005126953125, 2936.511474609375, 3338.197265625]",11,604.474613,2339.414307,2630.627197
model_92,"[5000, 2500, 1250, 750, 250, 100, 50]",7,sigmoid,0.1,FALSE,untruncated_normal,plain SGD,28,FALSE,"[2522.986572265625, 2496.410400390625, 2493.567626953125, 2493.273681640625, 2494.79638671875, 2491.7724609375, 2490.795166015625, 2493.627197265625, 2492.402587890625, 2491.841064453125, 2489.780029296875, 2491.03466796875]","[2420.91552734375, 2366.05224609375, 2345.408447265625, 2340.259033203125, 2339.92724609375, 2368.868408203125, 2339.512939453125, 2373.89111328125, 2353.983642578125, 2346.448974609375, 2350.58984375, 2341.892578125]",12,7564.781553,2339.512939,2489.780029
model_69,"[5000, 2500, 1250, 750, 250, 100, 50]",7,sigmoid,0.01,TRUE,untruncated_normal,nesterov,28,FALSE,"[2865.54931640625, 2833.87353515625, 2845.873779296875, 2832.343505859375, 2863.716552734375, 2837.81884765625, 2839.238037109375, 2857.20068359375, 2834.3828125]","[2366.117431640625, 2954.869140625, 2421.774658203125, 2340.340576171875, 2369.295166015625, 2744.318115234375, 3294.718505859375, 2556.697021484375, 2363.95703125]",9,7258.866004,2340.340576,2832.343506
model_91,"[5000, 2500, 1250, 750, 250, 100, 50]",7,tanh,0.1,FALSE,glorot_uniform,Adam,28,FALSE,"[2456.607177734375, 2454.46142578125, 2454.65869140625, 2454.2705078125, 2455.03564453125, 2453.3076171875]","[2343.47900390625, 2384.7744140625, 2348.53369140625, 2360.424072265625, 2365.489501953125, 2343.859619140625]",6,21698.93876,2343.479004,2453.307617
model_89,"[5000, 2500, 1250, 750, 250, 100, 50]",7,sigmoid,0.1,FALSE,uniform,nesterov,28,FALSE,"[3607.858154296875, 3363.580078125, 3441.50732421875, 3437.776611328125, 3438.80517578125, 3401.53662109375]","[2354.620849609375, 2526.634521484375, 2357.846923828125, 4133.42236328125, 4537.01171875, 7492.49169921875]",6,4369.760172,2354.62085,3363.580078
,,3,sigmoid,0.0001,FALSE,FALSE,Adam,50,FALSE,,,8,,2472.066406,
,,8,elu,0.005,TRUE,he_avg_normal,Adam,28,FALSE,,,8,,2601.259766,
,,3,elu,0.005,TRUE,he_avg_uniform,Adam,28,FALSE,,,8,,2611.481445,
model_30,"[1000, 500, 250, 125, 75, 25]",6,sigmoid,0.01,FALSE,untruncated_normal,RMSprop,28,FALSE,"[869507520.0, 73202864.0, 148603744.0, 11507454.0, 12789083.0, 21926540.0, 49383700.0, 64771740.0, 18070500.0, 49980688.0, 36515120.0, 52785756.0, 62525680.0, 10861411.0, 26027116.0]","[128133.5078125, 3122.048095703125, 7247.84228515625, 23032872.0, 71479.6875, 2957.450439453125, 7239.7548828125, 316729.15625, 943815.5, 2711.2958984375, 5714.146484375, 5261.72412109375, 8453.2939453125, 3924620.75, 19846.673828125]",15,31890.1408,2711.295898,10861411
model_10,"[95,45,20,31,36,11,26,1]",8,elu,0.0001,FALSE,,,50,FALSE,,,3,,2718.499023,
model_10,"[1000, 500, 250, 125, 75, 25]",6,sigmoid,0.001,FALSE,uniform,RMSprop,1000,FALSE,[210105040.0],[1163596.5],1,9.309398174,1163596.5,210105040
model_74,"[5000, 2500, 1250, 750, 250, 100, 50]",7,sigmoid,0.01,FALSE,uniform,RMSprop,1000,FALSE,"[1.727583077930107e+17, 1.6015752658157568e+16]","[301800914944.0, 1007403991040.0]",2,151.1400447,3.02E+11,1.60E+16
model_167_3,"[50, 10, 20]",3,elu,0.001,FALSE,he_avg_uniform,Adam,100,FALSE,"[1301.4278564453125, 967.927490234375, 868.724609375, 806.7428588867188, 767.58056640625, 739.0482177734375, 714.31640625]","[1104.7530517578125, 1085.7462158203125, 1182.498291015625, 1095.6934814453125, 1100.338134765625, 1147.5928955078125, 1153.5340576171875]",7,1524.944406,1085.746216,714.3164063
model_27_3,"[1000, 500, 100]",3,elu,0.005,TRUE,he_uniform,Adam,28,FALSE,"[1342.114501953125, 1117.2091064453125, 1008.8772583007812, 920.5422973632812, 864.0349731445312, 815.9680786132812, 780.987548828125, 754.8294677734375, 731.6079711914062]","[1417.2860107421875, 1367.4344482421875, 1382.2093505859375, 1244.033447265625, 1306.961181640625, 1282.947509765625, 1305.912353515625, 1289.7823486328125, 1390.0982666015625]",9,2781.761399,1244.033447,731.6079712
model_181_3,"[50, 10, 20]",3,elu,0.005,FALSE,he_normal,Adam,50,FALSE,"[1190.4764404296875, 968.121826171875, 859.4681396484375, 801.0665283203125, 762.214599609375, 723.1805419921875, 682.4846801757812]","[1114.83154296875, 1096.4947509765625, 1099.82958984375, 1108.5596923828125, 1266.6358642578125, 1164.2105712890625, 1126.6527099609375]",7,1019.996111,1096.494751,682.4846802
model_136_3,"[50, 20]",2,elu,0.005,FALSE,he_uniform,Adam,50,FALSE,"[1188.6365966796875, 945.8836059570312, 853.4523315429688, 790.3336181640625, 740.4341430664062, 710.701171875, 682.4287719726562, 656.9544067382812, 646.2577514648438, 619.3842163085938]","[1131.490966796875, 1212.4674072265625, 1099.73974609375, 1104.8226318359375, 1171.533203125, 1125.07666015625, 1244.0804443359375, 1081.8763427734375, 1155.517333984375, 1090.19873046875]",10,1905.535866,1081.876343,619.3842163
model_146_3,"[50, 10, 20]",3,elu,0.001,TRUE,he_normal,Adam,100,FALSE,"[1659.2530517578125, 1110.671142578125, 980.6202392578125, 899.9633178710938, 837.8187866210938, 798.3854370117188, 758.6810302734375, 714.880859375, 692.302001953125]","[1231.8690185546875, 1182.236572265625, 1170.326904296875, 1157.2889404296875, 1262.1531982421875, 1213.6676025390625, 1306.302001953125, 1205.247802734375, 1174.97705078125]",9,753.4504969,1157.28894,692.302002
